combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers
37,1.3316608220338821,0.0005,64.0,128.0,0.1,64.0,1.0
25,1.3361632823944092,0.0005,64.0,64.0,0.1,64.0,1.0
43,1.3363986760377884,0.0005,64.0,128.0,0.2,64.0,1.0
1,1.351368635892868,0.001,64.0,64.0,0.1,64.0,1.0
13,1.3519819602370262,0.001,64.0,128.0,0.1,64.0,1.0
28,1.3527785539627075,0.0005,64.0,64.0,0.1,128.0,1.0
34,1.356140486896038,0.0005,64.0,64.0,0.2,128.0,1.0
46,1.3575182855129242,0.0005,64.0,128.0,0.2,128.0,1.0
19,1.3610994666814804,0.001,64.0,128.0,0.2,64.0,1.0
7,1.3619659543037415,0.001,64.0,64.0,0.2,64.0,1.0
31,1.369311586022377,0.0005,64.0,64.0,0.2,64.0,1.0
40,1.3736627399921417,0.0005,64.0,128.0,0.1,128.0,1.0
15,1.3970535174012184,0.001,64.0,128.0,0.1,64.0,3.0
4,1.3973251208662987,0.001,64.0,64.0,0.1,128.0,1.0
16,1.3985109478235245,0.001,64.0,128.0,0.1,128.0,1.0
39,1.402241438627243,0.0005,64.0,128.0,0.1,64.0,3.0
22,1.4117347076535225,0.001,64.0,128.0,0.2,128.0,1.0
26,1.4138067066669464,0.0005,64.0,64.0,0.1,64.0,2.0
38,1.4154332131147385,0.0005,64.0,128.0,0.1,64.0,2.0
10,1.425016775727272,0.001,64.0,64.0,0.2,128.0,1.0
44,1.4299928396940231,0.0005,64.0,128.0,0.2,64.0,2.0
27,1.431163065135479,0.0005,64.0,64.0,0.1,64.0,3.0
32,1.4346238672733307,0.0005,64.0,64.0,0.2,64.0,2.0
14,1.4363037943840027,0.001,64.0,128.0,0.1,64.0,2.0
45,1.4430257827043533,0.0005,64.0,128.0,0.2,64.0,3.0
9,1.4433810785412788,0.001,64.0,64.0,0.2,64.0,3.0
21,1.4471725597977638,0.001,64.0,128.0,0.2,64.0,3.0
35,1.4576938897371292,0.0005,64.0,64.0,0.2,128.0,2.0
33,1.463916763663292,0.0005,64.0,64.0,0.2,64.0,3.0
36,1.4654561430215836,0.0005,64.0,64.0,0.2,128.0,3.0
42,1.4711756631731987,0.0005,64.0,128.0,0.1,128.0,3.0
29,1.4766079485416412,0.0005,64.0,64.0,0.1,128.0,2.0
5,1.4781553894281387,0.001,64.0,64.0,0.1,128.0,2.0
3,1.4782725498080254,0.001,64.0,64.0,0.1,64.0,3.0
8,1.4805246442556381,0.001,64.0,64.0,0.2,64.0,2.0
2,1.4811349660158157,0.001,64.0,64.0,0.1,64.0,2.0
18,1.485631674528122,0.001,64.0,128.0,0.1,128.0,3.0
30,1.4859623461961746,0.0005,64.0,64.0,0.1,128.0,3.0
41,1.4879236295819283,0.0005,64.0,128.0,0.1,128.0,2.0
20,1.4887952357530594,0.001,64.0,128.0,0.2,64.0,2.0
47,1.492619127035141,0.0005,64.0,128.0,0.2,128.0,2.0
23,1.502871997654438,0.001,64.0,128.0,0.2,128.0,2.0
6,1.505131945014,0.001,64.0,64.0,0.1,128.0,3.0
48,1.5132330507040024,0.0005,64.0,128.0,0.2,128.0,3.0
24,1.5216151028871536,0.001,64.0,128.0,0.2,128.0,3.0
17,1.5429457426071167,0.001,64.0,128.0,0.1,128.0,2.0
12,1.55722576379776,0.001,64.0,64.0,0.2,128.0,3.0
11,1.5693831890821457,0.001,64.0,64.0,0.2,128.0,2.0
